Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
UP9000-NPUJ00553_00-0000000000000001,4,Alundra,PS1 US,AB4898E3560BA96DDCE86C95A68BAC5B,http://zeus.dl.playstation.net/cdn/UP9000/NPUJ00553_00/dfxod4JB4OsflgQkelAr3BXW2FTEGbDx3yWcwkyK30FqBEJPJ0xfgMT5BigoJeWqKn9EpsXuwGPBovQJl3LU7DsHwnpVfwSVDsLIi.pkg,333123280,92fc83d8efa554964d09786259cb71efe7d052df3b4bb0e8eb4bd6e022195eff 
JP9000-NPJI00032_00-0000000000000001,4,Ape Escape,PS1 JP,747C655EA84B4A812C377EE84F459739,http://zeus.dl.playstation.net/cdn/JP9000/NPJI00032_00/yDEZVKNgPCaRafOSWZOlrSkzhSDJzwveLKpePEolWcZzEceAuFIEeTqGTbtxKsOJCVjcCbXZQECOaNsExfoTYKjkRRArXBidsltMp.pkg,119874464,89e143b3cd59b123b7250ad8bedea942c59d5a6005dc12555ecc3f4cfdb3b43a 
JP0011-NPJJ00188_00-0000000000000001,4,Aquanaut no Kyuujitsu 2,PS1 JP,7370E500108D5C2EB50B5897A2E41D89,http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00188_00/arHCHduVGtcujjFsrkxHeb0JmhiB9KCpbheO4FCQqvr20e83S8GmxBvxpLl0FYV8aCBWC5OBnti9PrNLRAhQjXYGJKc7Oiho7xLKC.pkg,87009376,861b167114d8d7d5107d764f650a8be8b0e2deafe3f4566123f2c0459ed5204c 
JP0011-NPJJ00188_00-0000000000000001,4,Aquanaut no Kyuujitsu 2,PS1 JP,7370E500108D5C2EB50B5897A2E41D89,http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00188_00/lalbEdWuXSGPbVYedFzxgoPZjGHMkVMdTpbYGlqGWeyLODlfTDusDBJTimvRvVRUULKyTofzKAIVrXymHMHJDDQKZCWLhGRwCoQaU.pkg,87076416,0877d09b3100782740a8f7e1fa1219084740f7f71298399e5498bdd6fef8a016 
JP0011-NPJJ00179_00-0000000000000001,4,Aquanaut no Kyuujitsu: Memories of Summer 1996,PS1 JP,1954CAA114C568FC7E0D1A0E4DBD02BE,http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00179_00/j2PVAvj1iCSv0CFQgYmBGbATLE2igTFdTJxyMmyvmauLmffBhemBEsgQylAH4Bdk2U15jFm701gxfV740LBsDY38ny7Y5Wx2Ua72O.pkg,65841648,76b565a39f35b321d37e8cbde24681bf4fb698fa31cad8ce31f5c72fa8fc37d6 
EP2039-NPEF00167_00-GARCTHELAD000001,4,Arc  the Lad 1,PS1 EU,BE3CF6EDF4F602F3B66637F7239632C4,http://zeus.dl.playstation.net/cdn/EP2039/NPEF00167_00/PNhTYdlhUqNOUspmiIzgjJiKgLIGIejghclsfCPdPfTuRzMnPXTJleVyvUHcekHB.pkg,295200304,4b7b3d72b532d59f4b6b82789b5c642976308e3d676310e2f6602ae330085416 
JP9000-NPJI00001_00-0000000000000001,4,Arc the Lad,PS1 JP,6CA459B034E7972C5279A436BAE034E6,http://zeus.dl.playstation.net/cdn/JP9000/NPJI00001_00/aouMNoCiO7Jixqi2THriINGnE7WohKAbGKQEA0D5yCtwKL0KxXMlQts2dfDD1DRcAN7Li1u8Hh2qky7kgO6pPioShv5QPkOYcEuRU.pkg,298298336,b0876c6c9af72e216f75465035e26e93965a73ad20b4d37c1ec8ea34e4173e7d 
UP9000-NPUJ01255_00-0000000000000001,4,Arc The Lad Arc Arena: Monster Tournament,PS1 US,13DBEC5D46543F03FDCB61F3E71DD114,http://zeus.dl.playstation.net/cdn/UP9000/NPUJ01255_00/8Gd9qQdciNP95bsFScMwriDm4k3okuMVLfFlhl1GEvteCbJYNVRsrYWC226XXwDyQC6dNPJjjxKPlBwCTAb73T16rdie9NuTtmeQL.pkg,78281872,0f1e2954b85ab3c09bbaa6b719a472810d18a4a8bb93ae96128b01599497e1ce 
UP9000-NPUJ01224_00-0000000000000001,4,Arc The Lad I,PS1 US,9358A421434954B115F437A4A614AC8E,http://zeus.dl.playstation.net/cdn/UP9000/NPUJ01224_00/CIYDIQ4y2cUPYBedmo0RvLAu2Na6SVmqmmSvaylxpK99lJ95HTK1ajQ41L2U1d5PRChDFLTYORXPkTSauWHHSULLuFRY00BVqDEV1.pkg,309065328,b6c199fef8eab3b8c38d2e3f7bd123bc95ed15692ce507beed4db74eb61d2f3e 
UP9000-NPUJ01252_00-0000000000000001,4,Arc The Lad II,PS1 US,AA7E6AB390418FFAB22196B62301F9BE,http://zeus.dl.playstation.net/cdn/UP9000/NPUJ01252_00/grSo7sI5YLyVDpMt0dTPu5wo5lLgMe2IKPxHyo4DcKuLLscNqv98xSISt3F3PduhLbvSJ8L1qJdr80XO7xyoW8OxXnuOraUpSdai8.pkg,357744688,6e491e658f6c14838b1a9ea962d0341f737a1206ed483de8f60dcf8e8ec64071 
